Timestamp,pv,Position,datetime,elevation,azimuth,groundpoint,latitude,longitude,day,hour
2020-01-01 00:01:00,"{2020-01-01T00:01:00.000, P(1522887.8476838171, -2020624.6070660502, -5001087.822584235), V(8928.843126103795, 883.832774355303, 2188.3460463349816), A(-3.4452899629959535, 4.566708278464415, 11.315750166735024)}","{1,522,887.8476838171; -2,020,624.6070660502; -5,001,087.822584235}",2020-01-01 00:01:00,-87.47769103724129,332.013958964651,"{lat: -63.3389462631 deg, lon: -153.363404704 deg, alt: -756,360.7187865219}",-63.33894626307159,-153.36340470395484,1,0
2020-01-01 00:02:00,"{2020-01-01T00:02:00.000, P(2051344.7338096634, -1959566.7712271106, -4849738.087748242), V(8686.934590167037, 1152.994871603573, 2855.2863397630786), A(-4.606760924506617, 4.396098609752855, 10.892616746145636)}","{2,051,344.7338096634; -1,959,566.7712271106; -4,849,738.087748242}",2020-01-01 00:02:00,-85.07326947334761,315.53684839183256,"{lat: -59.8637887836 deg, lon: -144.3075485205 deg, alt: -743,650.3290493867}",-59.863788783577284,-144.30754852051749,1,0
2020-01-01 00:03:00,"{2020-01-01T00:03:00.000, P(2563253.575191614, -1882726.554022923, -4659237.233443323), V(8377.65542541745, 1410.3107198554778, 3492.8459672174695), A(-5.687188102370261, 4.172852980657482, 10.338923803560679)}","{2,563,253.575191614; -1,882,726.554022923; -4,659,237.233443323}",2020-01-01 00:03:00,-82.53396770752995,310.14933504443445,"{lat: -55.884407681 deg, lon: -137.1665518502 deg, alt: -722,296.9940945216}",-55.88440768095977,-137.1665518501693,1,0
2020-01-01 00:04:00,"{2020-01-01T00:04:00.000, P(3054733.7367258216, -1790904.4745625532, -4431572.330943925), V(8006.506293507467, 1652.8217557331627, 4093.6864275624343), A(-6.666068835128586, 3.903875092156146, 9.671795164147033)}","{3,054,733.7367258216; -1,790,904.4745625532; -4,431,572.330943925}",2020-01-01 00:04:00,-79.96843948668104,307.58763908370236,"{lat: -51.5841552055 deg, lon: -131.501586455 deg, alt: -692,527.8826963165}",-51.58415520551699,-131.50158645504413,1,0
2020-01-01 00:05:00,"{2020-01-01T00:05:00.000, P(3522268.43881464, -1685065.0975092335, -4169137.6807047725), V(7580.072541581356, 1878.0234281369928, 4651.595345445918), A(-7.527862537698239, 3.5973046464029874, 8.911420467209192)}","{3,522,268.43881464; -1,685,065.0975092335; -4,169,137.6807047725}",2020-01-01 00:05:00,-77.39989025099855,306.132771715017,"{lat: -47.090721618 deg, lon: -126.936967349 deg, alt: -654,662.6306268359}",-47.09072161802497,-126.93696734901133,1,0
2020-01-01 00:06:00,"{2020-01-01T00:06:00.000, P(3962760.539061681, -1566307.9263899783, -3874662.581808151), V(7105.7110123709635, 2083.922750813106, 5161.629229830427), A(-8.262425478501903, 3.2619602024728818, 8.079673322521076)}","{3,962,760.539061681; -1,566,307.9263899783; -3,874,662.581808151}",2020-01-01 00:06:00,-74.83705828347708,305.22042052743376,"{lat: -42.4926676693 deg, lon: -123.1877738589 deg, alt: -609,104.5489808843}",-42.492667669281516,-123.18777385893627,1,0
2020-01-01 00:07:00,"{2020-01-01T00:07:00.000, P(4373569.036724568, -1435835.8527222343, -3551133.0343216658), V(6591.225003985699, 2269.062421851809, 5620.1733106493675), A(-8.864978023848618, 2.906792123394629, 7.198754484399097)}","{4,373,569.036724568; -1,435,835.8527222343; -3,551,133.0343216658}",2020-01-01 00:07:00,-72.28440842430966,304.61250289455955,"{lat: -37.8523591885 deg, lon: -120.0466296837 deg, alt: -556,329.6045289749}",-37.8523591885185,-120.04662968371915,1,0
2020-01-01 00:08:00,"{2020-01-01T00:08:00.000, P(4752526.396764706, -1294923.1123206, -3201712.216129484), V(6044.553608470064, 2432.5138228141927, 6024.924188846053), A(-9.335673700988174, 2.540400022797628, 6.289994985623911)}","{4,752,526.396764706; -1,294,923.1123206; -3,201,712.216129484}",2020-01-01 00:08:00,-69.74460066127591,304.1914313408941,"{lat: -33.2145766894 deg, lon: -117.3638011612 deg, alt: -496,873.7961790473}",-33.214576689418244,-117.36380116122824,1,0
2020-01-01 00:09:00,"{2020-01-01T00:09:00.000, P(5097938.211212276, -1144884.4734411745, -2829664.0134946634), V(5473.496192897546, 2573.8439687522728, 6374.8078768403375), A(-9.678878776069533, 2.170651487651702, 5.372910445245877)}","{5,097,938.211212276; -1,144,884.4734411745; -2,829,664.0134946634}",2020-01-01 00:09:00,-67.21928884568014,303.89245524435114,"{lat: -28.6119842773 deg, lon: -115.0304199725 deg, alt: -431,319.6274619448}",-28.611984277313088,-115.03041997249619,1,0
2020-01-01 00:10:00,"{2020-01-01T00:10:00.000, P(5408567.752921953, -987047.0230688057, -2438282.9956818777), V(4885.485713263402, 2693.063091850412, 6669.84980334427), A(-9.90228537032809, 1.804419040006661, 4.464548624801862)}","{5,408,567.752921953; -987,047.0230688057; -2,438,282.9956818777}",2020-01-01 00:10:00,-64.70943638645102,303.6769401967173,"{lat: -24.068604199 deg, lon: -112.9662208047 deg, alt: -360,282.3817542453}",-24.068604198950826,-112.9662208047156,1,0
2020-01-01 00:11:00,"{2020-01-01T00:11:00.000, P(5683608.578076775, -822725.4976653921, -2030833.182091921), V(4287.417300786431, 2790.5600067847013, 6911.014510887809), A(-10.015973661934899, 1.447434496438898, 3.579128150807106)}","{5,683,608.578076775; -822,725.4976653921; -2,030,833.182091921}",2020-01-01 00:11:00,-62.2154645916923,303.5203542578751,"{lat: -19.6020793018 deg, lon: -111.110999363 deg, alt: -284,396.848443705}",-19.602079301772804,-111.11099936303674,1,0
