,kep,datetime
44,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 171.02173536121097;}, attitude=org.orekit.attitudes.Attitude@1fa58a48, mass=1000.0, additional={}}",2020-01-01 00:45:00
45,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 173.5548088969128;}, attitude=org.orekit.attitudes.Attitude@3921e96f, mass=1000.0, additional={}}",2020-01-01 00:46:00
46,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 176.08162261754245;}, attitude=org.orekit.attitudes.Attitude@6fad5ace, mass=1000.0, additional={}}",2020-01-01 00:47:00
47,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 178.60463694799907;}, attitude=org.orekit.attitudes.Attitude@632dc41, mass=1000.0, additional={}}",2020-01-01 00:48:00
48,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 181.12629943643844;}, attitude=org.orekit.attitudes.Attitude@35f6f105, mass=1000.0, additional={}}",2020-01-01 00:49:00
49,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 183.6490530483423;}, attitude=org.orekit.attitudes.Attitude@3aa1c45, mass=1000.0, additional={}}",2020-01-01 00:50:00
50,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 186.17534444808672;}, attitude=org.orekit.attitudes.Attitude@6d45dd4, mass=1000.0, additional={}}",2020-01-01 00:51:00
51,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 188.7076322906093;}, attitude=org.orekit.attitudes.Attitude@1614499b, mass=1000.0, additional={}}",2020-01-01 00:52:00
52,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 191.24839554530897;}, attitude=org.orekit.attitudes.Attitude@1468fc85, mass=1000.0, additional={}}",2020-01-01 00:53:00
53,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 193.80014187277752;}, attitude=org.orekit.attitudes.Attitude@47f39279, mass=1000.0, additional={}}",2020-01-01 00:54:00
54,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 196.36541607226474;}, attitude=org.orekit.attitudes.Attitude@63ed5dae, mass=1000.0, additional={}}",2020-01-01 00:55:00
55,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.2; i: 68.0; pa: 280.0; raan: 0.0; v: 198.946808613771;}, attitude=org.orekit.attitudes.Attitude@578198d9, mass=1000.0, additional={}}",2020-01-01 00:56:00
