,kep,datetime
18,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.03454411477117102; ey: -0.19699416209483916; hx: 0.6745083645926623; hy: -4.541609101931329E-4; lv: 373.32183038223553;}, attitude=org.orekit.attitudes.Attitude@68f69ca3, mass=625.0, additional={}}",2020-01-01 00:19:00
19,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.03453434967100131; ey: -0.19699587364932153; hx: 0.674508348108678; hy: -4.780641126488438E-4; lv: 377.1136966686467;}, attitude=org.orekit.attitudes.Attitude@1e3566e, mass=625.0, additional={}}",2020-01-01 00:20:00
20,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.034524584486046825; ey: -0.196997584719789; hx: 0.6745083307776099; hy: -5.019673145599986E-4; lv: 380.80598304590745;}, attitude=org.orekit.attitudes.Attitude@2b058bfd, mass=625.0, additional={}}",2020-01-01 00:21:00
21,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.03451481921633155; ey: -0.19699929530623742; hx: 0.674508312599458; hy: -5.258705158965738E-4; lv: 384.4035110709511;}, attitude=org.orekit.attitudes.Attitude@4805069b, mass=625.0, additional={}}",2020-01-01 00:22:00
22,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.03450505386187948; ey: -0.19700100540866253; hx: 0.6745082935742224; hy: -5.497737166285461E-4; lv: 387.9111312298788;}, attitude=org.orekit.attitudes.Attitude@14ca88bc, mass=625.0, additional={}}",2020-01-01 00:23:00
23,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.03449528842271459; ey: -0.19700271502706018; hx: 0.6745082737019029; hy: -5.736769167258925E-4; lv: 391.33366938043395;}, attitude=org.orekit.attitudes.Attitude@f01fc6d, mass=625.0, additional={}}",2020-01-01 00:24:00
24,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.03448552289886088; ey: -0.19700442416142616; hx: 0.6745082529824997; hy: -5.975801161585896E-4; lv: 394.6758855222431;}, attitude=org.orekit.attitudes.Attitude@85cd413, mass=625.0, additional={}}",2020-01-01 00:25:00
25,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.034475757290342336; ey: -0.19700613281175627; hx: 0.6745082314160129; hy: -6.214833148966137E-4; lv: 397.94244295774666;}, attitude=org.orekit.attitudes.Attitude@688d2a5d, mass=625.0, additional={}}",2020-01-01 00:26:00
26,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.03446599159718294; ey: -0.19700784097804633; hx: 0.6745082090024423; hy: -6.453865129099417E-4; lv: 401.13788608422453;}, attitude=org.orekit.attitudes.Attitude@2842c098, mass=625.0, additional={}}",2020-01-01 00:27:00
27,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.03445622581940669; ey: -0.19700954866029213; hx: 0.6745081857417882; hy: -6.692897101685502E-4; lv: 404.26662526058567;}, attitude=org.orekit.attitudes.Attitude@2820b369, mass=625.0, additional={}}",2020-01-01 00:28:00
28,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.034446459957037566; ey: -0.1970112558584895; hx: 0.6745081616340503; hy: -6.931929066424158E-4; lv: 407.33292740093003;}, attitude=org.orekit.attitudes.Attitude@46b21632, mass=625.0, additional={}}",2020-01-01 00:29:00
