LEO ephemeris
Frame : TOD/1996 without EOP
Period : 2020-01-01T00:00:00.000 - 2020-01-01T12:00:00.000
                   date;Semi-Major Axis (km);Eccentricity (-);Inclination (Degrees);RA of Asc· Node (Degrees);Argument of Perigee (Degrees);True Anomaly (Degrees)
2020/01/01 00:50:00.000;     7009.16498;     0.00072852;       97.99681;       90.03317;      351.87341;      193.18558
2020/01/01 00:51:00.000;     7008.88401;     0.00079247;       97.99700;       90.03320;      346.70475;      202.04766
2020/01/01 00:52:00.000;     7008.45165;     0.00088257;       97.99726;       90.03325;      343.58810;      208.85779
2020/01/01 00:53:00.000;     7007.87526;     0.00099075;       97.99760;       90.03333;      342.39797;      213.74148
2020/01/01 00:54:00.000;     7007.16550;     0.00111038;       97.99801;       90.03347;      342.76294;      217.07016
2020/01/01 00:55:00.000;     7006.33470;     0.00123654;       97.99847;       90.03366;      344.30182;      219.22505
2020/01/01 00:56:00.000;     7005.39696;     0.00136555;       97.99900;       90.03391;      346.70392;      220.51687
2020/01/01 00:57:00.000;     7004.36885;     0.00149443;       97.99957;       90.03423;      349.73183;      221.18306
2020/01/01 00:58:00.000;     7003.26835;     0.00162072;       98.00018;       90.03463;      353.20999;      221.39920
2020/01/01 00:59:00.000;     7002.11436;     0.00174228;       98.00083;       90.03511;      357.01073;      221.29297
2020/01/01 01:00:00.000;     7000.92711;     0.00185711;       98.00149;       90.03567;        1.03843;      220.96004
2020/01/01 01:01:00.000;     6999.72735;     0.00196337;       98.00216;       90.03633;        5.22073;      220.47278
2020/01/01 01:02:00.000;     6998.53491;     0.00205947;       98.00284;       90.03707;        9.50466;      219.88419
2020/01/01 01:03:00.000;     6997.36797;     0.00214404;       98.00350;       90.03791;       13.85368;      219.23085
2020/01/01 01:04:00.000;     6996.24399;     0.00221575;       98.00415;       90.03884;       18.24241;      218.53815
2020/01/01 01:05:00.000;     6995.18132;     0.00227317;       98.00476;       90.03986;       22.64921;      217.82777
2020/01/01 01:06:00.000;     6994.19932;     0.00231482;       98.00534;       90.04096;       27.05103;      217.12277
2020/01/01 01:07:00.000;     6993.31607;     0.00233948;       98.00586;       90.04214;       31.42497;      216.44608
2020/01/01 01:08:00.000;     6992.54584;     0.00234634;       98.00632;       90.04340;       35.75410;      215.81466
2020/01/01 01:09:00.000;     6991.90071;     0.00233479;       98.00671;       90.04472;       40.02556;      215.24139
2020/01/01 01:10:00.000;     6991.39263;     0.00230421;       98.00702;       90.04610;       44.22110;      214.74453
2020/01/01 01:11:00.000;     6991.02972;     0.00225454;       98.00725;       90.04752;       48.31980;      214.34504
2020/01/01 01:12:00.000;     6990.81436;     0.00218630;       98.00738;       90.04896;       52.30673;      214.05784
2020/01/01 01:13:00.000;     6990.74766;     0.00210001;       98.00743;       90.05041;       56.16623;      213.89863
2020/01/01 01:14:00.000;     6990.83131;     0.00199612;       98.00738;       90.05185;       59.87059;      213.89513
2020/01/01 01:15:00.000;     6991.06559;     0.00187532;       98.00724;       90.05328;       63.37648;      214.09067
2020/01/01 01:16:00.000;     6991.44775;     0.00173878;       98.00701;       90.05468;       66.62137;      214.54779
2020/01/01 01:17:00.000;     6991.97093;     0.00158821;       98.00670;       90.05604;       69.51957;      215.35218
