Timestamp,pv,Position,datetime,elevation,azimuth,groundpoint,latitude,longitude,day,hour
2020-01-01 00:01:00,"{2020-01-01T00:01:00.000, P(68150.36150105622, 6971648.635150342, 484915.0187941512), V(1049.3082504439133, -528.7662756255208, 7466.216154656573), A(-0.079578084989982, -8.140682388011802, -0.5662274965030321)}","{68,150.3615010562; 6,971,648.635150342; 484,915.0187941512}",2020-01-01 00:01:00,-29.72389807553412,214.6720367928399,"{lat: 4.0033181806 deg, lon: -10.6679821946 deg, alt: 610,791.1983123122}",4.003318180576353,-10.6679821945649,1,0
2020-01-01 00:02:00,"{2020-01-01T00:02:00.000, P(130921.56785732543, 6925296.91085856, 931555.3599390805), V(1042.332320381594, -1015.7474329285327, 7416.579833105677), A(-0.15287031539595416, -8.086309538603189, -1.0877288136196939)}","{130,921.5678573254; 6,925,296.91085856; 931,555.3599390805}",2020-01-01 00:02:00,-27.736548551703432,216.3807508768619,"{lat: 7.7076245797 deg, lon: -11.4345291083 deg, alt: 611,141.1414102808}",7.707624579650395,-11.434529108293225,1,0
2020-01-01 00:03:00,"{2020-01-01T00:03:00.000, P(193142.63653148437, 6849844.714844444, 1374281.26807758), V(1030.9768418407184, -1498.4406285450511, 7335.781404912746), A(-0.2255111812493136, -7.997802042881052, -1.604595431120461)}","{193,142.6365314844; 6,849,844.714844444; 1,374,281.26807758}",2020-01-01 00:03:00,-25.732982150666416,218.1876429059028,"{lat: 11.4104241267 deg, lon: -12.210069865 deg, alt: 611,708.3641037045}",11.410424126671309,-12.210069865037987,1,0
2020-01-01 00:04:00,"{2020-01-01T00:04:00.000, P(254552.1532466475, 6745610.558852618, 1811232.683978899), V(1015.2901967585024, -1974.8085684113612, 7224.165125448959), A(-0.297191284747406, -7.875543941867951, -2.1146258692481545)}","{254,552.1532466475; 6,745,610.558852618; 1,811,232.683978899}",2020-01-01 00:04:00,-23.711125943338146,220.1128312604973,"{lat: 15.1109830152 deg, lon: -12.9993116561 deg, alt: 612,484.7006188987}",15.110983015208031,-12.999311656119689,1,0
2020-01-01 00:05:00,"{2020-01-01T00:05:00.000, P(314892.161175015, 6613034.412920558, 2240574.1494408282), V(995.3392083285579, -2442.841399469945, 7082.206466442895), A(-0.36760554490394276, -7.720065528970281, -2.615649363990061)}","{314,892.161175015; 6,613,034.412920558; 2,240,574.1494408282}",2020-01-01 00:05:00,-21.668599791354907,222.18054121290837,"{lat: 18.8085552669 deg, lon: -13.8074397357 deg, alt: 613,459.0156418583}",18.80855526685861,-13.80743973569617,1,0
2020-01-01 00:06:00,"{2020-01-01T00:06:00.000, P(373909.2588196342, 6452675.797084968, 2660502.619124345), V(971.208840889605, -2900.5654120285144, 6910.509980577764), A(-0.4364545631496666, -7.5320408086542425, -3.1055355838315633)}","{373,909.2588196342; 6,452,675.797084968; 2,660,502.619124345}",2020-01-01 00:06:00,-19.602724909149597,224.42029323855684,"{lat: 22.5023742671 deg, lon: -14.6403273561 deg, alt: 614,617.3933671165}",22.50237426707281,-14.640327356134978,1,0
2020-01-01 00:07:00,"{2020-01-01T00:07:00.000, P(431355.6774485969, 6265211.35593306, 3069255.1268962747), V(943.0018187557164, -3346.0515690810694, 6709.806589327672), A(-0.503445958491193, -7.312284272909565, -3.582204129904931)}","{431,355.6774485969; 6,265,211.35593306; 3,069,255.1268962747}",2020-01-01 00:07:00,-17.51058594663841,226.86844259419732,"{lat: 26.1916399014 deg, lon: -15.5048005464 deg, alt: 615,943.3726085768}",26.19163990135697,-15.504800546448463,1,0
2020-01-01 00:08:00,"{2020-01-01T00:08:00.000, P(486990.3332771998, 6051431.927597342, 3465116.272494382), V(910.8381660260735, -3777.423822253279, 6480.95030853389), A(-0.5682956652246066, -7.061747016029248, -4.043633769701358)}","{486,990.3332771998; 6,051,431.927597342; 3,465,116.272494382}",2020-01-01 00:08:00,-15.389200487051278,229.57016546315077,"{lat: 29.8754993081 deg, lon: -16.408984245 deg, alt: 617,418.2232800713}",29.87549930810045,-16.408984245009073,1,0
2020-01-01 00:09:00,"{2020-01-01T00:09:00.000, P(540579.8497283144, 5812239.12117328, 3846425.4952878538), V(874.8546698236771, -4192.867175388761, 6224.914429149832), A(-0.6307291865005962, -6.781512212279096, -4.4878713566503645)}","{540,579.8497283144; 5,812,239.12117328; 3,846,425.4952878538}",2020-01-01 00:09:00,-13.235896045260434,232.58198307921134,"{lat: 33.5530183884 deg, lon: -17.3627686969 deg, alt: 619,021.2588137925}",33.55301838840058,-17.362768696883528,1,0
2020-01-01 00:10:00,"{2020-01-01T00:10:00.000, P(591899.5452600358, 5548641.41883174, 4211584.103036241), V(835.2042698043743, -4590.635458382294, 5942.787173372063), A(-0.690482797388329, -6.472789984821713, -4.913040390364066)}","{591,899.5452600358; 5,548,641.41883174; 4,211,584.103036241}",2020-01-01 00:10:00,-11.04907776737588,235.9748616418145,"{lat: 37.2231397781 deg, lon: -18.3784550896 deg, alt: 620,730.1784917228}",37.22313977809367,-18.3784550896444,1,0
2020-01-01 00:11:00,"{2020-01-01T00:11:00.000, P(640734.3824313686, 5261749.821088519, 4559062.024842706), V(792.0553771470655, -4969.058775674504, 5635.766849003841), A(-0.7473046914813646, -6.1369116977609135, -5.317349175162175)}","{640,734.3824313686; 5,261,749.821088519; 4,559,062.024842706}",2020-01-01 00:11:00,-8.829714443929902,239.83774720327241,"{lat: 40.884620594 deg, lon: -19.471672449 deg, alt: 622,521.4332269132}",40.88462059401701,-19.471672449040625,1,0
