Timestamp,pv,Position,datetime,elevation,azimuth,groundpoint,latitude,longitude,day,hour
2020-01-01 00:15:00,"{2020-01-01T00:15:00.000, P(807311.3489772927, 3906772.939717815, 5744318.729050183), V(588.3409875170669, -6258.9599439364965, 4186.26364901657), A(-0.94071494669385, -4.5523448944293134, -6.693534649099698)}","{807,311.3489772927; 3,906,772.939717815; 5,744,318.729050183}",2020-01-01 00:15:00,0.04037289834147547,262.50096050701467,"{lat: 55.405920782 deg, lon: -25.1459601043 deg, alt: 630,016.7681180735}",55.40592078195045,-25.145960104301203,1,0
2020-01-01 00:16:00,"{2020-01-01T00:16:00.000, P(840894.5879250489, 3523307.1621918585, 5983275.890638641), V(530.7115299644598, -6518.753229031075, 3776.2087516293223), A(-0.9795903564097058, -4.1044356430797055, -6.970147562337179)}","{840,894.5879250489; 3,523,307.1621918585; 5,983,275.890638641}",2020-01-01 00:16:00,1.9787600889547154,270.67643670344586,"{lat: 58.9887005768 deg, lon: -27.1229824116 deg, alt: 631,849.9033292475}",58.9887005767952,-27.12298241159242,1,0
2020-01-01 00:17:00,"{2020-01-01T00:17:00.000, P(870952.54279697, 3125070.518806779, 6197149.352651101), V(470.872885905882, -6751.152080181129, 3350.434675466392), A(-1.0143293073299815, -3.6395216259648233, -7.217328041902701)}","{870,952.54279697; 3,125,070.518806779; 6,197,149.352651101}",2020-01-01 00:17:00,3.55607106289306,279.9902575148713,"{lat: 62.5401816761 deg, lon: -29.4975705319 deg, alt: 633,619.5926221311}",62.54018167611793,-29.49757053193695,1,0
2020-01-01 00:18:00,"{2020-01-01T00:18:00.000, P(897360.1959925974, 2713736.1059615766, 6385049.56863849), V(409.07759558679953, -6955.195284436694, 2910.7383377440506), A(-1.0447897502193024, -3.159582607932041, -7.434065354967789)}","{897,360.1959925974; 2,713,736.1059615766; 6,385,049.56863849}",2020-01-01 00:18:00,4.582163877691881,290.2482405546408,"{lat: 66.0479589099 deg, lon: -32.4418613111 deg, alt: 635,304.340845814}",66.04795890992838,-32.441861311129664,1,0
2020-01-01 00:19:00,"{2020-01-01T00:19:00.000, P(920007.9269886044, 2291031.092201221, 6546196.5480481805), V(345.58616963605675, -7130.04224506325, 2458.973367903136), A(-1.0708481373938543, -2.6666578687266824, -7.61948041408376)}","{920,007.9269886044; 2,291,031.092201221; 6,546,196.5480481805}",2020-01-01 00:19:00,4.897783107301557,301.0159839033919,"{lat: 69.4912938248 deg, lon: -36.2361744102 deg, alt: 636,884.372844233}",69.49129382476858,-36.236174410160224,1,0
2020-01-01 00:20:00,"{2020-01-01T00:20:00.000, P(938801.9569750793, 1858729.3795290764, 6679923.019975525), V(280.6659649961272, -7274.976281394634, 1997.0421094371939), A(-1.0923998739491678, -2.1628371402692737, -7.77282898783424)}","{938,801.9569750793; 1,858,729.3795290764; 6,679,923.019975525}",2020-01-01 00:20:00,4.450750665705559,311.69898786732233,"{lat: 72.8332550372 deg, lon: -41.3604851561 deg, alt: 638,341.9185596791}",72.83325503722403,-41.36048515606175,1,0
2020-01-01 00:21:00,"{2020-01-01T00:21:00.000, P(953664.7252882815, 1418644.0831349532, 6785677.111622096), V(214.5900364244914, -7389.407380344492, 1526.8874479001547), A(-1.109359680747516, -1.6502513990807486, -7.893504283624692)}","{953,664.7252882815; 1,418,644.0831349532; 6,785,677.111622096}",2020-01-01 00:21:00,3.3249889612446433,321.73228845939457,"{lat: 76.0031388424 deg, lon: -48.675884847 deg, alt: 639,661.4627835975}",76.00313884244288,-48.6758848470485,1,0
2020-01-01 00:22:00,"{2020-01-01T00:22:00.000, P(964535.1963331862, 972619.8626721989, 6863024.532163066), V(147.6359688699856, -7472.874392273693, 1050.484502832357), A(-1.121661868935034, -1.1310635600189958, -7.98103890097323)}","{964,535.1963331862; 972,619.8626721989; 6,863,024.532163066}",2020-01-01 00:22:00,1.6936405618018298,330.74845369589104,"{lat: 78.8554465161 deg, lon: -59.7460925024 deg, alt: 640,829.956248915}",78.85544651609693,-59.74609250240099,1,0
2020-01-01 06:55:00,"{2020-01-01T06:55:00.000, P(963887.5596170825, -1027261.6341726189, 6858416.357482198), V(-152.4046558197645, -7464.443873472221, -1084.4154735703362), A(-1.1193726219463926, 1.1929695921436616, -7.964750062263193)}","{963,887.5596170825; -1,027,261.6341726189; 6,858,416.357482198}",2020-01-01 06:55:00,0.2902340498507874,28.748167104020574,"{lat: 78.5368261551 deg, lon: 108.8891688768 deg, alt: 643,983.7309572553}",78.53682615514828,108.88916887680554,1,6
2020-01-01 06:56:00,"{2020-01-01T06:56:00.000, P(952735.6863189291, -1472669.9341352948, 6779066.655868652), V(-219.1915561634701, -7377.331752388701, -1559.6289621278308), A(-1.106083844650691, 1.7097044290881873, -7.870195498645852)}","{952,735.6863189291; -1,472,669.9341352948; 6,779,066.655868652}",2020-01-01 06:56:00,1.341136872047111,37.590223791908954,"{lat: 75.6377692566 deg, lon: 98.3956598327 deg, alt: 644,222.3603754144}",75.63776925657692,98.39565983266537,1,6
2020-01-01 06:57:00,"{2020-01-01T06:57:00.000, P(937603.2936339772, -1911925.5329067796, 6671394.087130917), V(-285.042559902477, -7259.428313513591, -2028.1832003209702), A(-1.088187835641842, 2.218991893147514, -7.742858777992772)}","{937,603.2936339772; -1,911,925.5329067796; 6,671,394.087130917}",2020-01-01 06:57:00,1.8890973042328805,46.974778320520414,"{lat: 72.4468036318 deg, lon: 91.4149761688 deg, alt: 644,292.3084752408}",72.44680363178152,91.41497616877346,1,6
