Timestamp,pv,Position,datetime,elevation,azimuth,groundpoint,latitude,longitude,day,hour
2020-01-01 00:01:00,"{2020-01-01T00:01:00.000, P(81132.34994207975, 5574333.269481325, 577286.6662837524), V(1280.4213574856628, -806.4423235883128, 9110.671358947578), A(-0.18368217340340595, -12.620189738670309, -1.306966575176316)}","{81,132.3499420797; 5,574,333.269481325; 577,286.6662837524}",2020-01-01 00:01:00,-42.81714596133933,108.10636750102798,"{lat: 5.9569980511 deg, lon: 89.1661400914 deg, alt: -773,175.6305423571}",5.956998051121193,89.16614009138061,1,0
2020-01-01 00:02:00,"{2020-01-01T00:02:00.000, P(157523.92521354972, 5503357.962951164, 1120840.9680156044), V(1264.2606085925484, -1556.8761692326052, 8995.681655582459), A(-0.3540077146128291, -12.367842996036993, -2.51889577404655)}","{157,523.9252135497; 5,503,357.962951164; 1,120,840.9680156044}",2020-01-01 00:02:00,-40.44746786906368,106.75527126547254,"{lat: 11.5928361775 deg, lon: 88.3604569178 deg, alt: -758,736.1685388902}",11.592836177520434,88.36045691784871,1,0
2020-01-01 00:03:00,"{2020-01-01T00:03:00.000, P(232643.41871940173, 5387904.337249368, 1655343.9376679815), V(1238.0966810395798, -2287.524220605246, 8809.515637653412), A(-0.5165358860706847, -11.962710813934107, -3.675343804272246)}","{232,643.4187194017; 5,387,904.337249368; 1,655,343.9376679815}",2020-01-01 00:03:00,-38.07429462238137,105.31964910157973,"{lat: 17.1861812701 deg, lon: 87.527570914 deg, alt: -735,027.0126795307}",17.18618127006482,87.52757091402528,1,0
2020-01-01 00:04:00,"{2020-01-01T00:04:00.000, P(305906.7082384528, 5229426.427682159, 2176639.329674106), V(1202.4977783653433, -2989.63784300717, 8556.216283415048), A(-0.668010637197177, -11.419535387921915, -4.753142662143374)}","{305,906.7082384528; 5,229,426.427682159; 2,176,639.329674106}",2020-01-01 00:04:00,-35.69780202230208,103.76775915434281,"{lat: 22.717506512 deg, lon: 86.6521735585 deg, alt: -702,386.053317073}",22.717506511985174,86.65217355847854,1,0
2020-01-01 00:05:00,"{2020-01-01T00:05:00.000, P(376769.28172185057, 5029873.98841017, 2680852.739488101), V(1158.2099858595125, -3655.482860774559, 8241.092265547824), A(-0.805779890897491, -10.757170263687728, -5.7334218385980575)}","{376,769.2817218506; 5,029,873.98841017; 2,680,852.739488101}",2020-01-01 00:05:00,-33.316485219087156,102.05953154712334,"{lat: 28.1688787881 deg, lon: 85.7161849334 deg, alt: -661,263.9194235029}",28.16887878814255,85.71618493344037,1,0
2020-01-01 00:06:00,"{2020-01-01T00:06:00.000, P(444735.7561909135, 4791625.041945533, 3164459.3340624715), V(1106.1178519553027, -4278.544973126419, 7870.437473191426), A(-0.9278906653172251, -9.99718166625874, -6.602285145681123)}","{444,735.7561909135; 4,791,625.041945533; 3,164,459.3340624715}",2020-01-01 00:06:00,-30.926442904861357,100.14261087214412,"{lat: 33.5242186496 deg, lon: 84.6972715899 deg, alt: -612,205.4788319903}",33.52421864959675,84.69727158992166,1,0
2020-01-01 00:07:00,"{2020-01-01T00:07:00.000, P(509366.8995257633, 4517408.678593578, 3624333.8144703363), V(1047.2012212088787, -4853.64881418725, 7451.223862633431), A(-1.0331192158589961, -9.162396920742918, -7.3510251881364175)}","{509,366.8995257633; 4,517,408.678593578; 3,624,333.8144703363}",2020-01-01 00:07:00,-28.520269322347996,97.94637165494417,"{lat: 38.7693638864 deg, lon: 83.5667046512 deg, alt: -555,829.2282235613}",38.769363886416414,83.56670465122622,1,0
2020-01-01 00:08:00,"{2020-01-01T00:08:00.000, P(570284.0447624366, 4210223.284466063, 4057781.8252614434), V(982.4920748124421, -5376.99230896579, 6990.794361602898), A(-1.1209422997580507, -8.275555689008012, -7.97591890023816)}","{570,284.0447624366; 4,210,223.284466063; 4,057,781.8252614434}",2020-01-01 00:08:00,-26.085264055157744,95.37260213515538,"{lat: 43.891908872 deg, lon: 82.2861078353 deg, alt: -492,806.1768156218}",43.8919088719946,82.2861078352923,1,0
2020-01-01 00:09:00,"{2020-01-01T00:09:00.000, P(627170.9965035964, 3873255.0187376556, 4462553.519279224), V(913.0345568093455, -5846.106203555134, 6496.5784410117085), A(-1.191462199869261, -7.358179780326241, -8.477694062315024)}","{627,170.9965035964; 3,873,255.0187376556; 4,462,553.519279224}",2020-01-01 00:09:00,-23.600444018014553,92.28065908904843,"{lat: 48.8807788554 deg, lon: 80.8022981021 deg, alt: -423,839.603283743}",48.88077885544898,80.8022981021392,1,0
2020-01-01 00:10:00,"{2020-01-01T00:10:00.000, P(679773.6945503736, 3509800.589129152, 4836841.164276981), V(839.8504923680775, -6259.754112304836, 5975.8467647252955), A(-1.2453013700085074, -6.4297273006278575, -8.860779663402111)}","{679,773.6945503736; 3,509,800.589129152; 4,836,841.164276981}",2020-01-01 00:10:00,-21.031474814267007,88.46348937206155,"{lat: 53.7254530172 deg, lon: 79.0387395047 deg, alt: -349,646.7243869404}",53.725453017226684,79.03873950470204,1,0
2020-01-01 00:11:00,"{2020-01-01T00:11:00.000, P(727898.0092095339, 3123197.36561934, 5179263.455713262), V(763.9117358370229, -6617.790886791259, 5435.514435748723), A(-1.2834826593899407, -5.507048528650191, -9.132453653828351)}","{727,898.0092095339; 3,123,197.36561934; 5,179,263.455713262}",2020-01-01 00:11:00,-18.322219803005073,83.6092492263531,"{lat: 58.414639848 deg, lon: 76.8807328338 deg, alt: -270,942.9346491527}",58.41463984800922,76.88073283381989,1,0
