Timestamp,pv,Position,datetime,elevation,azimuth,groundpoint,latitude,longitude,day,hour
2020-01-01 00:01:00,"{2020-01-01T00:01:00.000, P(1523257.855447767, -2020540.570705898, -5001013.403348429), V(8928.69264182155, 884.3102917257763, 2188.7447773911986), A(-3.4486282443711103, 4.574467320889533, 11.32220392731615)}","{1,523,257.855447767; -2,020,540.570705898; -5,001,013.403348429}",2020-01-01 00:01:00,-71.946174162381,224.06541591239287,"{lat: -63.3371752938 deg, lon: -52.987860082 deg, alt: -756,357.402950111}",-63.33717529376054,-52.987860081966886,1,0
2020-01-01 00:02:00,"{2020-01-01T00:02:00.000, P(2052063.7571996625, -1959342.229777856, -4849542.194266544), V(8686.536331299252, 1153.921681022911, 2856.05638257184), A(-4.611657562121118, 4.403282002830641, 10.8985053970907)}","{2,052,063.7571996625; -1,959,342.229777856; -4,849,542.194266544}",2020-01-01 00:02:00,-69.45060682276801,221.1663268086707,"{lat: -59.8595552782 deg, lon: -43.6758741489 deg, alt: -743,636.5377446008}",-59.85955527816253,-43.67587414892668,1,0
2020-01-01 00:03:00,"{2020-01-01T00:03:00.000, P(2564292.11778199, -1882307.9481292653, -4658875.656495748), V(8376.920764996135, 1411.6464199944548, 3493.947495800455), A(-5.693472476004883, 4.179269756251039, 10.344055630577277)}","{2,564,292.11778199; -1,882,307.9481292653; -4,658,875.656495748}",2020-01-01 00:03:00,-66.92215500334073,218.79470740152917,"{lat: -55.8773743308 deg, lon: -36.2803756777 deg, alt: -722,265.7690905419}",-55.87737433080503,-36.280375677710666,1,0
2020-01-01 00:04:00,"{2020-01-01T00:04:00.000, P(3056054.580827869, -1790242.082047342, -4431004.641707995), V(8005.358179227152, 1654.515355221241, 4095.0692044834873), A(-6.673527951066885, 3.909364266158712, 9.676016100384874)}","{3,056,054.580827869; -1,790,242.082047342; -4,431,004.641707995}",2020-01-01 00:04:00,-64.3714255783556,216.79568471006138,"{lat: -51.5741966849 deg, lon: -30.3618460429 deg, alt: -692,472.6216968847}",-51.57419668493328,-30.361846042854207,1,0
2020-01-01 00:05:00,"{2020-01-01T00:05:00.000, P(3523827.623792144, -1684113.8303816074, -4168328.0012340792), V(7578.447622224173, 1880.0153068068155, 4653.201170098954), A(-7.536255146025955, 3.601740174523223, 8.914619755383747)}","{3,523,827.623792144; -1,684,113.8303816074; -4,168,328.0012340792}",2020-01-01 00:05:00,-61.805550416595466,215.06650110606114,"{lat: -47.0778297279 deg, lon: -25.5441495027 deg, alt: -654,577.2284920563}",-47.07782972790495,-25.544149502653895,1,0
2020-01-01 00:06:00,"{2020-01-01T00:06:00.000, P(3964508.4752958394, -1565027.9748002244, -3873580.1656567664), V(7103.560889008145, 2086.146836166517, 5163.394608491747), A(-8.271496850860117, 3.2652531948748207, 8.08178525571023)}","{3,964,508.4752958394; -1,565,027.9748002244; -3,873,580.1656567664}",2020-01-01 00:06:00,-59.22934120741436,213.53639237242695,"{lat: -42.4768986075 deg, lon: -21.5421064934 deg, alt: -608,983.5195027314}",-42.47689860747442,-21.542106493371925,1,0
2020-01-01 00:07:00,"{2020-01-01T00:07:00.000, P(4375451.69226678, -1434193.164948631, -3549752.647823867), V(6588.516614399469, 2271.4484190813146, 5622.032120281391), A(-8.874473833207803, 2.908890466462514, 7.199756551569367)}","{4,375,451.69226678; -1,434,193.164948631; -3,549,752.647823867}",2020-01-01 00:07:00,-56.64591738430205,212.1549190871847,"{lat: -37.8338053776 deg, lon: -18.1481990092 deg, alt: -556,168.1780165477}",-37.833805377649824,-18.148199009183454,1,0
2020-01-01 00:08:00,"{2020-01-01T00:08:00.000, P(4754486.496771648, -1292889.7107215386, -3200014.3259240785), V(6041.268836803085, 2434.989354527324, 6026.810139599213), A(-9.345351806361556, 2.541285836382534, 6.289903164403447)}","{4,754,486.496771648; -1,292,889.7107215386; -3,200,014.3259240785}",2020-01-01 00:08:00,-54.05705965924208,210.88494086038156,"{lat: -33.1933512262 deg, lon: -15.2126168886 deg, alt: -496,667.9898933469}",-33.19335122623807,-15.212616888558351,1,0
2020-01-01 00:09:00,"{2020-01-01T00:09:00.000, P(5099916.398312461, -1142438.6155188025, -2827634.7981057027), V(5469.6308542492825, 2576.336511811929, 6376.656630362104), A(-9.68851819512964, 2.1703370111979017, 5.3717726038987434)}","{5,099,916.398312461; -1,142,438.6155188025; -2,827,634.7981057027}",2020-01-01 00:09:00,-51.4634140658068,209.69823030359365,"{lat: -28.5882117035 deg, lon: -12.6264503181 deg, alt: -431,066.2879128047}",-28.588211703533887,-12.626450318113683,1,0
2020-01-01 00:10:00,"{2020-01-01T00:10:00.000, P(5410503.667843012, -984173.2236701704, -2435914.207390375), V(4881.048091247928, 2695.501636292174, 6671.600663348876), A(-9.911692205826698, 1.8029415871598304, 4.462437019856808)}","{5,410,503.667843012; -984,173.2236701704; -2,435,914.207390375}",2020-01-01 00:10:00,-48.86461011939261,208.57263834442605,"{lat: -24.0424145428 deg, lon: -10.3094109471 deg, alt: -359,979.1997842824}",-24.042414542782065,-10.30941094713703,1,0
